"source_term","possible_official_zh","confidence","where_seen","notes"
"Adaptatron","自适应机器人","high","VOD / Rico decklist","本地牌表资产可用 cardId 230 / cardVersionId 254。"
"Dazzling Aurora","闪耀极光","high","VOD / SouledOut decklist","本地牌表资产可用 cardId 333 / cardVersionId 354。"
"Not So Fast","极速反制","high","VOD / Rico decklist","本地牌表资产可用 cardId 500100 / cardVersionId 500554。"
"Flurry of Blades","剑刃飓风","high","VOD / SouledOut decklist","本地牌表资产可用 cardId 329 / cardVersionId 350。"
"Scryer's Bloom","占卜花朵","high","SouledOut decklist","本地牌表资产可用 cardId 500549 / cardVersionId 502126。"
"Mindsplitter","辟心玄龙","high","SouledOut decklist","本地牌表资产可用 cardId 446 / cardVersionId 477。"
"Ride the Wind","驭风而行","high","VOD / Rico decklist","本地牌表资产可用 cardId 500 / cardVersionId 532。"
"Star-Crossed","造化弄人","high","Rico decklist","本地牌表资产可用 cardId 500392 / cardVersionId 501749。"
"Tideturner","控潮者","high","VOD / Rico decklist","本地牌表资产可用 cardId 511 / cardVersionId 543。"
"Body Rune","摧破符文","medium","SouledOut decklist","按橙色 Body 域与本地橙色符文资产推定。"
"Sivir, Mercenary","希维尔, 险中求贵","medium","SouledOut decklist","本地资产仅有该希维尔英雄单位；英文版本名需审核。"
"Akshan, Mischievous","阿克尚, 放浪不羁","medium","SouledOut sideboard","本地资产仅有该阿克尚英雄单位；英文版本名需审核。"
"Challenge","决斗","reviewed","SouledOut sideboard","用户审核纠正：不是迎敌号令，正式名为决斗；数据库匹配 cardId 142 / cardVersionId 153。"
"Disarming Rake","斩剑浪客","reviewed","Rico sideboard","用户审核补全；数据库匹配 cardId 500137 / cardVersionId 500775。"
"Angler Beast","提灯海煞","reviewed","Rico sideboard","用户审核补全；数据库匹配 cardId 500517 / cardVersionId 501947。"
"Disposal Order","处置命令","reviewed","SouledOut main deck","用户审核补全；数据库匹配 cardId 500496 / cardVersionId 501926。"
"Fading Memories","逝水如镜","reviewed","SouledOut sideboard","用户审核补全；数据库匹配 cardId 502 / cardVersionId 534。"
