"source_term","possible_official_zh","confidence","where_seen","notes"
"星芒","星芒凝汇","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为星芒凝汇的简称。"
"新花日","进化日","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为进化日的字幕误听。"
"净化日","进化日","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为进化日的字幕误听。"
"才智灵术","彩纸灵树","reviewed","Bilibili AI subtitle / match article","用户纠正确认：这是错别字，指战场彩纸灵树。"
"才指灵术","彩纸灵树","reviewed","Bilibili AI subtitle / match article","用户纠正确认：这是错别字，指战场彩纸灵树。"
"裁纸灵术","彩纸灵树","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为彩纸灵树的字幕错别字。"
"裁纸灵树","彩纸灵树","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为彩纸灵树的字幕错别字。"
"艾克","艾克, 溯时洄光","reviewed","commentary shorthand / match article","用户确认映射正确；本页语境均指该英雄单位。"
"熔炉","未来熔炉","reviewed","commentary shorthand / match article","用户确认映射正确；本页语境均指未来熔炉。"
"机箱","牺牲","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为牺牲的字幕误听。"
"泽日","择日再战","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为择日再战的字幕误听。"
"责任","择日再战","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为择日再战的字幕误听。"
"列娜塔","烈娜塔·戈拉斯克, 幕后主脑","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为烈娜塔·戈拉斯克, 幕后主脑的字幕写法。"
"蓝烈娜塔","烈娜塔·戈拉斯克, 幕后主脑","reviewed","commentary shorthand / match article","用户确认映射正确；指蓝色体系中的烈娜塔·戈拉斯克, 幕后主脑。"
"蓝色烈娜塔","烈娜塔·戈拉斯克, 幕后主脑","reviewed","commentary shorthand / match article","用户确认映射正确；指蓝色体系中的烈娜塔·戈拉斯克, 幕后主脑。"
"蓝色列娜塔","烈娜塔·戈拉斯克, 幕后主脑","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为蓝色烈娜塔的字幕写法。"
"菲奥娜","菲奥娜, 无上统御","reviewed","match article","用户确认映射正确；本页语境指黄剑姬组件菲奥娜, 无上统御。"
"黄剑姬","菲奥娜, 无上统御","reviewed","commentary shorthand / match article","用户确认映射正确；为烈娜塔得分机制中的黄色菲奥娜组件。"
"黄色剑姬","菲奥娜, 无上统御","reviewed","commentary shorthand / match article","用户确认映射正确；为烈娜塔得分机制中的黄色菲奥娜组件。"
"黄金机","菲奥娜, 无上统御","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为黄剑姬的字幕/音近误听。"
"黄金鸡","菲奥娜, 无上统御","reviewed","Bilibili AI subtitle / match article","用户确认映射正确；为黄剑姬的字幕/音近误听。"
"开门","时间扭曲","reviewed","user clarification / match article","用户确认：开门就是时间扭曲；本页作为玩家俗称保留显示，并链接到正式卡名。"
"鬼影观","鬼影湾","reviewed","Bilibili AI subtitle / match article","用户确认：这是错别字，对应关系没问题，正式卡名为鬼影湾。"
