"source_term","possible_official_zh","confidence","where_seen","notes"
"Diana, Scorn of the Moon","皎月女神","reviewed","broadcast overlay / Yomi deck page","用户确认映射正确。转播把传奇显示为 Diana, Scorn of the Moon；数据库正式英文名为 Scorn of the Moon，cardId 500429 / cardVersionId 501856。"
"Diana Lunari","黛安娜, 皎月化身","reviewed","broadcast overlay","用户确认映射正确。叠字省略逗号；数据库正式英文名为 Diana, Lunari，cardId 500369 / cardVersionId 501915。"
"Rengar, Pridestalker","傲之追猎者","reviewed","broadcast overlay / Yomi deck page","用户确认映射正确。转播把传奇显示为 Rengar, Pridestalker；数据库正式英文名为 Pridestalker，cardId 500437 / cardVersionId 501980。"
"Rengar Trophy Hunter","雷恩加尔, 异兽猎手","reviewed","broadcast overlay","用户确认映射正确。叠字省略逗号；数据库正式英文名为 Rengar, Trophy Hunter，cardId 500372 / cardVersionId 502277。"
"throw the Hunt","狩猎律动","reviewed","YouTube auto-caption around 05:20:59 / caster audio","用户确认映射正确。字幕疑似把 Thrill of the Hunt 误听成 throw the Hunt；牌表与终局片段均确认 Thrill of the Hunt。"
"Pike / Pyke","派克, 码头屠夫","reviewed","caster audio around 05:35:42","用户确认映射正确。解说口语称 Pyke；牌表中为 Pyke, Dockside Butcher，数据库 cardId 500331 / cardVersionId 501743。"
"faith folk / fae folk","诱人仙灵","reviewed","YouTube auto-caption around 05:28:24 and 05:36:47","用户确认映射正确。字幕/口语可能把 Irresistible Faefolk 写成 faith folk；牌表中为 Irresistible Faefolk，数据库 cardId 500550 / cardVersionId 502130。"
"Starcross / Star Cross","造化弄人","reviewed","caster audio around 05:36:12","用户确认映射正确。对应牌表 Star-Crossed，数据库 cardId 500392 / cardVersionId 502219。"
"Vex Cheerless","薇古丝, 郁郁","reviewed","caster audio around 05:36:12","用户确认映射正确。对应牌表 Vex, Cheerless，数据库 cardId 500094 / cardVersionId 500545。"
"Kais / Kaisa","卡莎, 九死一生","reviewed","caster audio around 05:24:10-05:25:48","用户确认映射正确。对应牌表 Kai'Sa, Survivor，数据库 cardId 469 / cardVersionId 501。"
"Arena's greatest game","荣耀竞技场","reviewed","caster audio / broadcast overlay around 05:19:49","用户确认映射正确。对应 The Arena's Greatest，数据库 cardId 262 / cardVersionId 673。"
"Targon's Peak","巨神峰之巅","reviewed","Rift Mana decklist / broadcast image decklist around 04:13:56","用户确认映射正确。本地 Sydney 牌表资产已有对应卡名，cardId 530 / cardVersionId 562。"
"Ravenbloom Conservatory","拉文布鲁姆学院","reviewed","Rift Mana decklist / broadcast image decklist around 04:13:56","用户确认映射正确。本地苏州/西安牌表资产已有对应卡名，cardId 500091 / cardVersionId 500542。"
"Emperor's Dais","帝王神坛","reviewed","Rift Mana decklist / broadcast image decklist around 04:15:20","用户确认映射正确。用户纠正并确认正式译名为帝王神坛。"
"Star Spring","流星疗泉","reviewed","Rift Mana decklist / broadcast image decklist around 04:15:20","用户确认映射正确。本地西安/苏州牌表资产已有对应卡名，cardId 500454 / cardVersionId 501786。"
"Allen ZQ / Allan ZQ","CTG ALANZQ","reviewed","caster audio / broadcast overlay","用户确认映射正确。这是选手名不是卡名；转播叠字为 CTG ALANZQ，Yomi 源为 CTG Alanzq。"
